epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.12803,2.3173,4.7828,2.3879,0.00124,0.16667,0.00236,0.00046,2.13486,4.72444,2.67303,7e-05,7e-05,7e-05
2,6.27721,1.71707,4.45307,2.01346,0.02927,0.73333,0.07162,0.04155,1.23718,4.15597,1.67392,0.00014703,0.00014703,0.00014703
3,8.42565,1.28629,4.01579,1.59881,0.02904,0.93333,0.25205,0.19548,1.04067,3.83423,1.27847,0.000220892,0.000220892,0.000220892
4,10.5027,1.19246,3.38148,1.46837,0.01752,1,0.2932,0.21885,0.93084,3.49505,1.12289,0.000291586,0.000291586,0.000291586
5,12.5937,1.27008,3.10486,1.4815,0.01651,1,0.38572,0.28568,0.98921,3.33263,1.12117,0.000359112,0.000359112,0.000359112
6,14.6989,1.12412,2.74078,1.32351,0.0121,1,0.66867,0.50496,0.94496,3.1438,1.09339,0.00042347,0.00042347,0.00042347
7,16.8106,1.22144,2.51196,1.3496,0.01013,1,0.68453,0.4274,1.04762,2.99234,1.13577,0.00048466,0.00048466,0.00048466
8,18.861,1.16703,2.30878,1.33467,0.77127,0.69161,0.75992,0.52464,1.04619,3.00093,1.15024,0.000542682,0.000542682,0.000542682
9,20.9596,1.10363,2.10135,1.29424,0.96655,0.31637,0.82222,0.60093,0.95349,2.76744,1.09021,0.000597536,0.000597536,0.000597536
10,23.1172,1.08145,1.95501,1.25333,0.97911,0.44775,0.86426,0.5912,1.01195,2.63693,1.14625,0.000649222,0.000649222,0.000649222
11,25.2103,1.03674,1.90169,1.22925,0.95004,0.73578,0.93917,0.67033,1.01578,2.46478,1.16202,0.00069774,0.00069774,0.00069774
12,27.2732,1.00915,1.79622,1.18805,0.9838,0.84673,0.995,0.72886,1.02984,2.16982,1.21926,0.00074309,0.00074309,0.00074309
13,29.3217,1.04863,1.76237,1.22029,0.94277,0.77465,0.98944,0.7037,1.03887,2.17301,1.21138,0.0007624,0.0007624,0.0007624
14,31.3296,1.09286,1.7326,1.22522,0.93392,0.86734,0.995,0.71782,1.06445,1.93185,1.24442,0.0007426,0.0007426,0.0007426
15,33.332,1.03643,1.61514,1.21026,0.94833,0.69417,0.98389,0.72256,1.01555,2.02985,1.17108,0.0007228,0.0007228,0.0007228
